Id,Name,Url,categoryID
1,1. How to program in C# - BASICS - Beginner Tutorial,https://youtu.be/pSiIHe2uZ2w?list=PLPV2KyIb3jR6ZkG8gZwJYSjnXxmfPAl51,1
2,2. How to program in C# - Beginner Tutorial,https://youtu.be/nA2pSmBmvKg?list=PLPV2KyIb3jR6ZkG8gZwJYSjnXxmfPAl51,1
3,3. How to program in C# - VARIABLES - Beginner Tutorial,https://youtu.be/udoMi4mGYYw?list=PLPV2KyIb3jR6ZkG8gZwJYSjnXxmfPAl51,1
4,4. How to program in C# - IF STATEMENTS - Beginner Tutorial,https://youtu.be/OXTK7cnphYY?list=PLPV2KyIb3jR6ZkG8gZwJYSjnXxmfPAl51,1
5,5. How to program in C# - SWITCH STATEMENTS - Beginner Tutorial,https://youtu.be/Qs-LAYkp9YU?list=PLPV2KyIb3jR6ZkG8gZwJYSjnXxmfPAl51,1
6,6. How to program in C# - FOR LOOPS - Beginner Tutorial,https://youtu.be/eIsGXwisKPE?list=PLPV2KyIb3jR6ZkG8gZwJYSjnXxmfPAl51,1
7,Buckys C++ Programming Tutorials - 1 - Installing CodeBlocks,https://youtu.be/tvC1WCdV1XU?list=PLAE85DE8440AA6B83,2
8,Buckys C++ Programming Tutorials - 2 - Understanding a Simple C++ Program,https://youtu.be/SWZfFNyUsxc?list=PLAE85DE8440AA6B83,2
9,Buckys C++ Programming Tutorials - 3 - More on Printing Text,https://youtu.be/sPv0HQ8xOaU?list=PLAE85DE8440AA6B83,2
10,Buckys C++ Programming Tutorials - 4 - Variables,https://youtu.be/QwBSv4-_Lmk?list=PLAE85DE8440AA6B83,2
11,Buckys C++ Programming Tutorials - 5 - Creating a Basic Calculator,https://youtu.be/yjucJUsHSqg?list=PLAE85DE8440AA6B83,2
12,Buckys C++ Programming Tutorials - 6 - Variables Memory Concepts,https://youtu.be/3Iq_uFbc4L4?list=PLAE85DE8440AA6B83,2
13,JavaScript Tutorial For Beginners 01 - Introduction,https://youtu.be/qoSksQ4s_hg?list=PL4cUxeGkcC9i9Ae2D9Ee1RvylH38dKuET,3
14,JavaScript for Beginners 02 - What is JavaScript?,https://youtu.be/VB7y0yxZjro?list=PL4cUxeGkcC9i9Ae2D9Ee1RvylH38dKuET,3
15,JavaScript Tutorial For Beginners 03 - Hello World! in JavaScript,https://youtu.be/ranSYb-EhrU?list=PL4cUxeGkcC9i9Ae2D9Ee1RvylH38dKuET,3
16,JavaScript Tutorial For Beginners #4 - Where to put your JS,https://youtu.be/czlwRUeTCgw?list=PL4cUxeGkcC9i9Ae2D9Ee1RvylH38dKuET,3
17,JavaScript Tutorial For Beginners #5 - Google Chrome Developer Tools,https://youtu.be/JzZFccCEgGA?list=PL4cUxeGkcC9i9Ae2D9Ee1RvylH38dKuET,3
18,JavaScript Tutorial For Beginners #6 - Basic JavaScript Syntax & Rules,https://youtu.be/QLatPwsbDrQ?list=PL4cUxeGkcC9i9Ae2D9Ee1RvylH38dKuET,3
19,Node.js - Tutorial - Introduction,https://youtu.be/65a5QQ3ZR2g?list=PL55RiY5tL51oGJorjEgl6NVeDbx_fO5jR,4
20,Node.js - Tutorial - First Application,https://youtu.be/JH4qVqplC8E?list=PL55RiY5tL51oGJorjEgl6NVeDbx_fO5jR,4
21,Node.js - Tutorial - JavaScript Modules & Anonymous Functions,https://youtu.be/NemVc0_pnzM?list=PL55RiY5tL51oGJorjEgl6NVeDbx_fO5jR,4
22,Node.js - Tutorial - My IDE,https://youtu.be/ioxgbkxIGwE?list=PL55RiY5tL51oGJorjEgl6NVeDbx_fO5jR,4
23,Node.js - Tutorial - Rendering HTML as Response,https://youtu.be/p5eCYKiZN-4?list=PL55RiY5tL51oGJorjEgl6NVeDbx_fO5jR,4
24,Node.js - Tutorial - Routing,https://youtu.be/tiMLxUKrB-g?list=PL55RiY5tL51oGJorjEgl6NVeDbx_fO5jR,4
25,1: Introduction to PHP Programming,https://youtu.be/qVU3V0A05k8?list=PL0eyrZgxdwhwBToawjm9faF1ixePexft-,5
26,2: Installing A Local Server for PHP,https://youtu.be/mXdpCRgR-xE?list=PL0eyrZgxdwhwBToawjm9faF1ixePexft-,5
27,3: Output In Browser Using PHP,https://youtu.be/zlCwveRcyKQ?list=PL0eyrZgxdwhwBToawjm9faF1ixePexft-,5
28,4: How to Create PHP Variables,https://youtu.be/CoorcqbkpI0?list=PL0eyrZgxdwhwBToawjm9faF1ixePexft-,5
29,5: How to Write Comments in PHP,https://youtu.be/pHxBA2ZbHis?list=PL0eyrZgxdwhwBToawjm9faF1ixePexft-,5
30,6: What Are Internal Functions in PHP,https://youtu.be/kByr0ifju4k?list=PL0eyrZgxdwhwBToawjm9faF1ixePexft-,5
31,#0 Python Tutorial,https://youtu.be/QXeEoD0pB3E?list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,6
32,#1 Python Tutorial for Beginners | Introduction to Python,https://youtu.be/hEgO047GxaQ?list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,6
33,#2 Python Tutorial for Beginners | Python Installation,https://youtu.be/mbryl4MZJms?list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,6
34,#3 Python Tutorial for Beginners | Getting Started with Python,https://youtu.be/DWgzHbglNIo?list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,6
35,#4 Python Tutorial for Beginners | Variables in Python,https://youtu.be/TqPzwenhMj0?list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,6
36,#5 Python Tutorial for Beginners | List in Python,https://youtu.be/Eaz5e6M8tL4?list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,6
